Evento	Evento (limpo)	Codigo	Classificação UTI
Atendimento fisioterapêutico hospitalar ao paciente com disfunção decorrente de alterações do sistema músculo-esquelético	Atendimento fisioterapêutico hospitalar ao paciente com disfunção decorrente de alterações do sistema músculo esquelético	5.00.00.365	0
CAPACETE DE OXIGÊNIO, VAZÃO DE 5 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO	CAPACETE DE OXIGÊNIO  VAZÃO DE 5 LITROS MIN  POR HORA (CORRIDA OU SUBSEQUENTE)  FORA DA UTI SEMI UTI E DO CENTRO CIRÚRGICO	6.00.03.847	0
CATÉTER PARA OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO	CATÉTER PARA OXIGÊNIO  VAZÃO DE 1 LITRO MIN  POR HORA (CORRIDA OU SUBSEQUENTE)  FORA DA UTI SEMI UTI E DO CENTRO CIRÚRGICO	6.00.04.444	0
CATÉTER PARA OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO	CATÉTER PARA OXIGÊNIO  VAZÃO DE 2 LITROS MIN  POR HORA (CORRIDA OU SUBSEQUENTE)  FORA DA UTI SEMI UTI E DO CENTRO CIRÚRGICO	6.00.04.592	0
CATÉTER PARA OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI	CATÉTER PARA OXIGÊNIO  VAZÃO DE 2 LITROS MIN  POR HORA (CORRIDA OU SUBSEQUENTE)  NA UTI   SEMI UTI	6.00.04.606	0
CATÉTER PARA OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO	CATÉTER PARA OXIGÊNIO  VAZÃO DE 3 LITROS MIN  POR HORA (CORRIDA OU SUBSEQUENTE)  FORA DA UTI SEMI UTI E DO CENTRO CIRÚRGICO	6.00.04.746	0
CATÉTER PARA OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI	CATÉTER PARA OXIGÊNIO  VAZÃO DE 3 LITROS MIN  POR HORA (CORRIDA OU SUBSEQUENTE)  NA UTI   SEMI UTI	6.00.04.754	0
DIÁRIA DE  SEMI-UTI ADULTO GERAL	DIÁRIA DE  SEMI UTI ADULTO GERAL	6.00.00.929	1
DIÁRIA DE  SEMI-UTI NEONATAL	DIÁRIA DE  SEMI UTI NEONATAL	6.00.00.953	1
DIÁRIA DE  UTI ADULTO GERAL	DIÁRIA DE  UTI ADULTO GERAL	6.00.01.038	1
